2016-05-30 09:36:12|Inició session|1|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 09:41:06|Cerró session|1|www.contenidos.devel/seguridad/seguridad/logout.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 09:50:15|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 12:11:57|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 12:11:57|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 13:08:34|Registro home (id::1)|2|www.contenidos.devel/seccion/home/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 13:11:20|Registro home (id::2)|2|www.contenidos.devel/seccion/home/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 14:20:59|Registro home (id::3)|2|www.contenidos.devel/seccion/home/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 14:43:03|Registro home (id::4)|2|www.contenidos.devel/seccion/home/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 14:43:21|Registro home (id::5)|2|www.contenidos.devel/seccion/home/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 15:55:21|Cerró session|2|www.contenidos.devel/seguridad/seguridad/logout.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 15:55:45|Inició session|1|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 16:00:06|Registró la pagina Home(id::14)|1|www.contenidos.devel/seguridad/pagina/nuevo/3.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 16:00:20|Agregó permisos al tipo de administrador Administrador web(id::2) - Seccion web Home(id::14)|1|www.contenidos.devel/seguridad/permiso/nuevo.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 16:00:22|Cerró session|1|www.contenidos.devel/seguridad/seguridad/logout.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 16:00:30|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 16:29:43|Cerró session|2|www.contenidos.devel/seguridad/seguridad/logout.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
2016-05-30 16:30:01|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|1
